ax,ay,az,gx,gy,gz,label
8844,13652,4812,4596,2888,1116,caminar
8536,15580,7304,5342,-189,-3315,caminar
6384,15768,6136,5574,-763,-5981,caminar
8608,20100,6716,3742,-4329,-7813,caminar
5908,16052,4292,2795,-1018,-4976,caminar
3172,12824,3452,1065,-2181,-3324,caminar
2164,14280,2844,2045,-3757,-3703,caminar
1112,14724,3300,-1921,224,-854,caminar
1900,16572,6948,-726,-202,-777,caminar
972,12088,2296,-1393,670,70,caminar
3152,14272,1780,-3075,1194,-175,caminar
3096,14364,1932,-4384,-1658,2963,caminar
5584,17052,1404,-2406,-4057,-303,caminar
